time,ensemble_survival,MTE,RPD,surface,penalty,sim_mode,distance,W2,MMD
1.0,0.5099999904632568,0.9763194065467984,0.38013149339464575,paraboloid,T,learned_latent,0.4,1.8283788275152648,0.23107416927814484
2.0,0.29499998688697815,,,paraboloid,T,learned_latent,0.4,1.25266109378282,0.1378852128982544
3.0,0.20499999821186066,,,paraboloid,T,learned_latent,0.4,2.310129994848479,0.24852532148361206
4.0,0.1599999964237213,,,paraboloid,T,learned_latent,0.4,1.347722106210784,0.21816584467887878
5.0,0.10499999672174454,,,paraboloid,T,learned_latent,0.4,0.7126632594113167,0.128494530916214
0.1,0.9799999594688416,0.6171167334731744,0.427054431420693,paraboloid,T,learned_ambient,0.4,,
0.2,0.8799999952316284,0.8903567574240945,0.4732812476426274,paraboloid,T,learned_ambient,0.4,,
0.5,0.6850000023841858,1.0106951859745665,0.4575205933835305,paraboloid,T,learned_ambient,0.4,,
1.0,0.5099999904632568,1.0986277262369792,0.4277524296442517,paraboloid,T,learned_ambient,0.4,2.441304725503466,0.0815027579665184
2.0,0.29499998688697815,,,paraboloid,T,learned_ambient,0.4,5.937967797391907,0.22741644084453583
3.0,0.20499999821186066,,,paraboloid,T,learned_ambient,0.4,6.85093926577339,0.17502890527248383
4.0,0.1599999964237213,,,paraboloid,T,learned_ambient,0.4,14.540325425581782,0.25057321786880493
5.0,0.10499999672174454,,,paraboloid,T,learned_ambient,0.4,82532.2034031095,0.37515541911125183
0.1,0.9799999594688416,1.406671173718511,0.9734384528958014,paraboloid,K,learned_latent,0.4,,
0.2,0.8799999952316284,1.5087200511585583,0.8019806692112919,paraboloid,K,learned_latent,0.4,,
0.5,0.6850000023841858,1.204683624044822,0.5453351061338475,paraboloid,K,learned_latent,0.4,,
1.0,0.5099999904632568,1.0030093473546646,0.39052326374139507,paraboloid,K,learned_latent,0.4,1.8633442207249329,0.23675449192523956
2.0,0.29499998688697815,,,paraboloid,K,learned_latent,0.4,1.263622002742598,0.13995754718780518
3.0,0.20499999821186066,,,paraboloid,K,learned_latent,0.4,2.384462149174748,0.2607631981372833
4.0,0.1599999964237213,,,paraboloid,K,learned_latent,0.4,1.3879482050932612,0.22464121878147125
5.0,0.10499999672174454,,,paraboloid,K,learned_latent,0.4,0.7541667717282744,0.13855963945388794
0.1,0.9799999594688416,0.5596583619409677,0.38729233965736526,paraboloid,K,learned_ambient,0.4,,
0.2,0.8799999952316284,0.8096453926780007,0.4303780236400545,paraboloid,K,learned_ambient,0.4,,
0.5,0.6850000023841858,0.8905940369097856,0.4031533125765304,paraboloid,K,learned_ambient,0.4,,
1.0,0.5099999904632568,1.0741162767597274,0.4182088583164923,paraboloid,K,learned_ambient,0.4,3.843385426353471,0.21912652254104614
2.0,0.29499998688697815,,,paraboloid,K,learned_ambient,0.4,14.414947077848836,0.4540780782699585
3.0,0.20499999821186066,,,paraboloid,K,learned_ambient,0.4,16.980233080554157,0.4913902282714844
4.0,0.1599999964237213,,,paraboloid,K,learned_ambient,0.4,24.809580302951346,0.5796947479248047
5.0,0.10499999672174454,,,paraboloid,K,learned_ambient,0.4,41.665116330549715,0.6362607479095459
0.1,0.9799999594688416,1.4001647015007175,0.9689358723582652,paraboloid,T+K,learned_latent,0.4,,
0.2,0.8799999952316284,1.4908025914972478,0.7924563997626889,paraboloid,T+K,learned_latent,0.4,,
0.5,0.6850000023841858,1.206594202640283,0.5461999851446823,paraboloid,T+K,learned_latent,0.4,,
1.0,0.5099999904632568,1.0026776182885264,0.3903941045088038,paraboloid,T+K,learned_latent,0.4,1.8567720440720574,0.23633921146392822
2.0,0.29499998688697815,,,paraboloid,T+K,learned_latent,0.4,1.2666988809741684,0.14147691428661346
3.0,0.20499999821186066,,,paraboloid,T+K,learned_latent,0.4,2.3495763562672907,0.2542288303375244
4.0,0.1599999964237213,,,paraboloid,T+K,learned_latent,0.4,1.3788673281242,0.22399286925792694
5.0,0.10499999672174454,,,paraboloid,T+K,learned_latent,0.4,0.766754537539372,0.1416895091533661
0.1,0.9799999594688416,0.5516030447823661,0.3817179341964744,paraboloid,T+K,learned_ambient,0.4,,
0.2,0.8799999952316284,0.8390952890569513,0.446032516723816,paraboloid,T+K,learned_ambient,0.4,,
0.5,0.6850000023841858,0.9327775161631786,0.4222488922595229,paraboloid,T+K,learned_ambient,0.4,,
1.0,0.5099999904632568,1.1303561341528798,0.4401059350680197,paraboloid,T+K,learned_ambient,0.4,3.2396593057574825,0.2075984925031662
2.0,0.29499998688697815,,,paraboloid,T+K,learned_ambient,0.4,7.1254282835507,0.4160395562648773
